layer	latent	clinical_exp	model
20	1	"""Intensive care unit (ICU) settings, intubation, and related medical procedures or equipment."""	9B
20	100	"""Medication administration instructions, particularly those specifying the form of medication (e.g. \""tablet\"", \""pill\"") and frequency or dosage."""	9B
20	102	"""Medical examination or assessment, or the medication pantoprazole."""	9B
20	103	"""Medication names, dosages, and medical abbreviations."""	9B
20	104	"""The model is activated by the term \""rhythm\"" and occasionally by surrounding tokens or punctuation, indicating that the pattern of interest is related to the concept of rhythm, particularly in a medical context."""	9B
20	106	"""Medication names and their corresponding dosages."""	9B
20	107	"""Quantities, measurements, or numerical values in medical prescriptions, lab results, or other healthcare-related contexts."""	9B
20	108	"""The definite article or a pronoun referring to the patient or a specific medical context."""	9B
20	109	"""Transitional phrases or words that indicate comparison or similarity, often used to connect ideas or clauses."""	9B
20	11	"""Percentile rankings, particularly those related to growth and development metrics."""	9B
20	113	"""Medical concepts, particularly those related to patient assessment, diagnosis, and test results, as well as certain keywords that indicate uncertainty or limitations in medical findings."""	9B
20	114	"""The model is activated by tokens that are part of section headings or titles, often denoted by a colon, and sometimes by tokens that are part of phrases indicating the beginning of a new section or topic."""	9B
20	115	"""The word \""Lastly\"" or \""Finally\"" when used to conclude a sequence of actions or events, often marking the last step in a process or the last piece of information in a series."""	9B
20	116	"""The activation patterns are associated with the phrase \""went on to\"" or \""go ahead with\"", indicating a transition or progression to a subsequent event or action, often in a medical context."""	9B
20	117	"""The model is activated by tokens that are part of medical abbreviations or symbols, often indicating a unit of measurement, a medical term, or a notation in a medical context."""	9B
20	118	"""Medical terms or units of measurement, particularly those related to diagnoses, treatments, or quantities."""	9B
20	12	"""The presence of the token \""Not\"" or \""not\"" in a medical context, often indicating the absence of a symptom, condition, or information."""	9B
20	120	"""Time-related adverbs or adjectives indicating a specific point or period in the future or past, often used to describe follow-up instructions or changes over time."""	9B
20	121	"""The presence of the word \""but\"" in a medical context, often indicating a contrast or exception to a previous statement, or the mention of specific medical terms like \""Nodes\"" or \""warfarin\""."""	9B
20	122	"""Important text is often highlighted or emphasized through the use of asterisks or other special characters as delimiters, typically indicating a notable instruction, warning, or medical directive."""	9B
20	123	"""Names of hospital departments or units, particularly those involved in patient care and treatment."""	9B
20	124	"""The term \""traditional\"", \""conventional\"", or \""classic\"" when used to describe a medical procedure, method, or approach."""	9B
20	125	"""Medical terms, diagnoses, medications, and medical abbreviations."""	9B
20	128	"""Terms related to heart anatomy, function, and pathology, particularly those involving the mitral valve."""	9B
20	129	"""Medication instructions or dosing information."""	9B
20	13	"""Medical information, particularly lab results, medication, and medical procedures."""	9B
20	130	"""Past or former professions, habits, or conditions, often indicated by words like \""former\"", \""formerly\"", or \""used to\""."""	9B
20	131	"""Medical terms, diagnoses, or anatomical references."""	9B
20	133	"""The token \""reportedly\"" is consistently activated across various snippets, indicating that the model is recognizing this word as a key indicator of reported or second-hand information, often used to convey uncertainty or indirect knowledge."""	9B
20	135	"""The model is activated by medical terminology, particularly electrocardiogram leads and spinal levels, as well as conjunctions and prepositions that connect these terms."""	9B
20	137	"""The model is activated by medical terms, procedures, and concepts, particularly when they are nouns or noun phrases, often in the context of patient care or medical history."""	9B
20	138	"""Family history of medical conditions."""	9B
20	14	"""The model is activated by phrases that express uncertainty or possibility, often using words like \""represent\"", \""could\"", \""likely\"", or \""versus\"", typically in the context of medical diagnoses or interpretations."""	9B
20	140	"""Medical or clinical information, particularly terms or phrases related to patient history, diagnoses, treatments, or hospital procedures."""	9B
20	142	"""Medical terms or phrases, particularly those related to diagnoses, conditions, or medical concepts."""	9B
20	145	"""Availability or unavailability of medical information, studies, or options."""	9B
20	146	"""Medical terms or phrases describing patient conditions, symptoms, or test results, often indicating a specific diagnosis or clinical finding."""	9B
20	147	"""The presence of the word \""residual\"" or \""remaining\"" in the text, often indicating a leftover or persistent condition, particularly in medical contexts."""	9B
